Datum,BHKW1_Biogas (kg/m3),BHKW2_Biogas (kg/m3),Methangehalt CH4 (%),TS-Wert (g/L),pH-Wert
734165.49931713,2473.50005787064,5054.99965277617,53.8917717089406,6.75765840347137,7.52130883017428
734165.582650463,2473.08339120378,5057.49965277733,53.9713434329156,6.52858975062808,7.52215958938815
734165.665983796,2472.6667245375,5059.999652775,54.0509151567795,6.86576657957556,7.56803984983772
734165.74931713,2472.25005787064,5062.49965277617,54.1304868807545,6.70606541008511,7.4923689971366
734165.832650463,2471.83339120378,5064.99965277733,54.2100586047296,6.56814710066683,7.38223021470219
734165.915983796,2471.4167245375,5067.499652775,54.2896303285935,6.83613740976405,7.42428926515326
734165.99931713,2471.00005787064,5069.99965277617,54.3692020525685,6.87641472805737,7.44739807211826
734166.082650463,2485.997916664,5094.99652777333,54.2510775316413,6.63669937410126,7.4665156216891
734166.165983796,2500.99791665003,5119.99652775005,54.1329255491261,6.60674364507516,7.50474333168541
734166.24931713,2515.99791665701,5144.99652776169,54.0147735664457,6.84995804346853,7.50081882122404
734166.332650463,2530.997916664,5169.99652777333,53.8966215837654,6.74405127684367,7.46729842734224
734166.415983796,2545.99791665003,5194.99652775005,53.7784696012501,6.50326897502473,7.46308292099784
734166.49931713,2560.99791665701,5219.99652776169,53.6603176185697,6.85636510600578,7.53229647431753
734166.582650463,2575.997916664,5244.99652777333,53.5421656358894,6.93,7.38553945418591
734166.665983796,2590.99791665003,5269.99652775005,53.4240136533741,7.02,7.21441556308184
734166.74931713,2605.99791665701,5294.99652776169,53.3058616706938,6.98,7.51378652396368
734166.832650463,2620.997916664,5319.99652777333,53.1877096880134,7,7.50901386650048
734166.915983796,2635.99791665003,5344.99652775005,53.0695577054981,7.035,7.27623697371894
734166.99931713,2650.99791665701,5369.99652776169,52.9514057228178,7.12,7.40647606867751
734167.082650463,2642.25111401861,5355.00190974619,53.1273891139382,7.137,7.56486593369974
734167.165983796,2633.50101275197,5340.00173614624,53.303413362812,7.189,7.55621614376937
734167.24931713,2624.75091147311,5325.00156252533,53.4794376119317,7.23,7.53752830436008
734167.332650463,2616.00081019424,5310.00138890442,53.6554618610515,7.21,7.54645393785851
734167.415983796,2607.2507089276,5295.00121530446,53.8314861099253,7.2,7.5122077576987
734167.49931713,2598.50060764874,5280.00104168355,54.007510359045,7.249,7.55785299883175
734167.582650463,2589.75050636987,5265.00086806264,54.1835346081647,7.315,7.51968184963576
734167.665983796,2581.00040510323,5250.00069446269,54.3595588570385,7.43,7.48558387385212
734167.74931713,2572.25030382437,5235.00052084178,54.5355831061582,7.39,7.5012842595592
734167.832650463,2563.5002025455,5220.00034722087,54.711607355278,7.5431,7.48538521367112
734167.915983796,2554.75010127886,5205.00017362091,54.8876316041518,7.5891,7.40423692862486
734167.99931713,2546,5190,55.0636558532715,7.6156,7.55340122991575
734168.082650463,2547.33333333395,5177.49999999418,55.0419546763001,7.698,7.57659030252329
734168.165983796,2548.66666666605,5165.00000000582,55.0202534993591,7.7634,7.54258976808064
734168.24931713,2550,5152.5,54.9985523223877,7.8451,7.56743471380386
734168.332650463,2551.33333333395,5139.99999999418,54.9768511454163,7.9189,7.59076272548712
734168.415983796,2552.66666666605,5127.50000000582,54.9551499684753,7.9912,7.49327021224624
734168.49931713,2554,5115,54.9334487915039,8.029,7.61277431568815
734168.582650463,2555.33333333395,5102.49999999418,54.9117476145325,8.1659,7.47643706567444
734168.665983796,2556.66666666605,5090.00000000582,54.8900464375915,8.259,7.55617075014335
734168.74931713,2558,5077.5,54.8683452606201,8,7.61674968668968
734168.832650463,2559.33333333395,5064.99999999418,54.8466440836488,8.37651,7.60011771922475
734168.915983796,2560.66666666605,5052.50000000582,54.8249429067077,8.1726,7.65527752096076
734168.99931713,2562,5040,54.8032417297363,8.3434,7.55245458322563
734169.082650463,2559.16669945833,5048.33323688727,54.7815404860465,8.29837,7.58943337433539
734169.165983796,2556.33339892062,5056.66647376289,54.759839242387,8.1652,7.62490836294212
734169.24931713,2553.50009837895,5064.99971065016,54.7381379986971,8.30981,7.58514375576505
